Date,Open,High,Low,Close,Volume
2018-12-21 13:50:00,1.1001,1.1279,1.1001,1.1279,2000
2018-12-21 13:55:00,1.1001,1.1279,1.1001,1.1279,2000
2018-12-21 14:00:00,1.1001,1.1279,1.1001,1.1279,2000
2018-12-21 14:05:00,1.1001,1.1279,1.1001,1.1279,2000
2018-12-21 14:10:00,1.1001,1.1279,1.1001,1.1279,2000
2018-12-21 14:15:00,1.13,1.13,1.1299,1.1299,261
2018-12-21 14:20:00,1.13,1.13,1.1299,1.1299,261
2018-12-21 14:25:00,1.13,1.13,1.1299,1.1299,261
2018-12-21 14:30:00,1.08,1.1,1.0518,1.1,8682
2018-12-21 14:35:00,1.08,1.1,1.0518,1.1,8682
2018-12-21 14:40:00,1.08,1.1,1.0518,1.1,8682
2018-12-21 14:45:00,1.1087,1.1286,1.1087,1.12,2800
2018-12-21 14:50:00,1.1087,1.1286,1.1087,1.12,2800
2018-12-21 14:55:00,1.1087,1.1286,1.1087,1.12,2800
2018-12-21 15:00:00,1.12,1.12,1.12,1.12,100
2018-12-21 15:05:00,1.12,1.12,1.12,1.12,100
2018-12-21 15:10:00,1.12,1.12,1.12,1.12,100
2018-12-21 15:15:00,1.12,1.12,1.12,1.12,100
2018-12-21 15:20:00,1.12,1.12,1.12,1.12,100
2018-12-21 15:25:00,1.12,1.12,1.12,1.12,100
2018-12-21 15:30:00,1.0988,1.11,1.0988,1.0993,750
2018-12-21 15:35:00,1.0988,1.11,1.0988,1.0993,750
2018-12-21 15:40:00,1.0988,1.11,1.0988,1.0993,750
2018-12-21 15:45:00,1.0963,1.1,1.07,1.08,10214
2018-12-21 15:50:00,1.0963,1.1,1.07,1.08,10214
2018-12-21 15:55:00,1.0963,1.1,1.07,1.08,10214
2018-12-24 09:00:00,1.02,1.0827,1.02,1.0827,12862
2018-12-24 09:05:00,1.02,1.0827,1.02,1.0827,12862
2018-12-24 09:10:00,1.02,1.0827,1.02,1.0827,12862
2018-12-24 09:15:00,1.02,1.0827,1.02,1.0827,12862
2018-12-24 09:20:00,1.02,1.0827,1.02,1.0827,12862
2018-12-24 09:25:00,1.02,1.0827,1.02,1.0827,12862
2018-12-24 09:30:00,1.02,1.0827,1.02,1.0827,12862
2018-12-24 09:35:00,1.02,1.0827,1.02,1.0827,12862
2018-12-24 09:40:00,1.02,1.0827,1.02,1.0827,12862
2018-12-24 09:45:00,1.02,1.0827,1.02,1.0827,12862
2018-12-24 09:50:00,1.02,1.0827,1.02,1.0827,12862
2018-12-24 09:55:00,1.02,1.0827,1.02,1.0827,12862
2018-12-24 10:00:00,1.07,1.07,1.02,1.02,4473
2018-12-24 10:05:00,1.07,1.07,1.02,1.02,4473
2018-12-24 10:10:00,1.07,1.07,1.02,1.02,4473
2018-12-24 10:15:00,1.018,1.07,1.018,1.07,10111
2018-12-24 10:20:00,1.018,1.07,1.018,1.07,10111
2018-12-24 10:25:00,1.018,1.07,1.018,1.07,10111
2018-12-24 10:30:00,1.07,1.08,1.07,1.08,3717
2018-12-24 10:35:00,1.07,1.08,1.07,1.08,3717
2018-12-24 10:40:00,1.07,1.08,1.07,1.08,3717
2018-12-24 10:45:00,1.07,1.08,1.07,1.08,3717
2018-12-24 10:50:00,1.07,1.08,1.07,1.08,3717
2018-12-24 10:55:00,1.07,1.08,1.07,1.08,3717
2018-12-24 11:00:00,1.07,1.08,1.07,1.08,3717
2018-12-24 11:05:00,1.07,1.08,1.07,1.08,3717
2018-12-24 11:10:00,1.07,1.08,1.07,1.08,3717
2018-12-24 11:15:00,1.08,1.08,1.0608,1.0608,23352
2018-12-24 11:20:00,1.08,1.08,1.0608,1.0608,23352
2018-12-24 11:25:00,1.08,1.08,1.0608,1.0608,23352
2018-12-24 11:30:00,1.07,1.08,1.07,1.075,1043
2018-12-24 11:35:00,1.07,1.08,1.07,1.075,1043
2018-12-24 11:40:00,1.07,1.08,1.07,1.075,1043
2018-12-24 11:45:00,1.075,1.075,1.075,1.075,920
2018-12-24 11:50:00,1.075,1.075,1.075,1.075,920
2018-12-24 11:55:00,1.075,1.075,1.075,1.075,920
2018-12-24 12:00:00,1.075,1.075,1.075,1.075,638
2018-12-24 12:05:00,1.075,1.075,1.075,1.075,638
2018-12-24 12:10:00,1.075,1.075,1.075,1.075,638
2018-12-24 12:15:00,1.075,1.075,1.075,1.075,1975
2018-12-24 12:20:00,1.075,1.075,1.075,1.075,1975
2018-12-24 12:25:00,1.075,1.075,1.075,1.075,1975
2018-12-24 12:30:00,1.075,1.08,1.0701,1.08,7659
2018-12-24 12:35:00,1.075,1.08,1.0701,1.08,7659
2018-12-24 12:40:00,1.075,1.08,1.0701,1.08,7659
2018-12-24 12:45:00,1.0799,1.0799,1.06,1.06,4840
2018-12-24 12:50:00,1.0799,1.0799,1.06,1.06,4840
2018-12-24 12:55:00,1.0799,1.0799,1.06,1.06,4840
2018-12-24 13:00:00,1.07,1.08,1.06,1.075,22488
2018-12-24 13:05:00,1.07,1.08,1.06,1.075,22488
2018-12-24 13:10:00,1.07,1.08,1.06,1.075,22488
2018-12-24 13:15:00,1.07,1.07,1.07,1.07,531
2018-12-24 13:20:00,1.07,1.07,1.07,1.07,531
2018-12-24 13:25:00,1.07,1.07,1.07,1.07,531
2018-12-24 13:30:00,1.07,1.07,1.07,1.07,531
2018-12-24 13:35:00,1.07,1.07,1.07,1.07,531
2018-12-24 13:40:00,1.07,1.07,1.07,1.07,531
2018-12-24 13:45:00,1.07,1.07,1.07,1.07,531
2018-12-24 13:50:00,1.07,1.07,1.07,1.07,531
2018-12-24 13:55:00,1.07,1.07,1.07,1.07,531
2018-12-24 14:00:00,1.07,1.07,1.07,1.07,531
2018-12-24 14:05:00,1.07,1.07,1.07,1.07,531
2018-12-24 14:10:00,1.07,1.07,1.07,1.07,531
2018-12-24 14:15:00,1.07,1.07,1.07,1.07,531
2018-12-24 14:20:00,1.07,1.07,1.07,1.07,531
2018-12-24 14:25:00,1.07,1.07,1.07,1.07,531
2018-12-24 14:30:00,1.07,1.07,1.07,1.07,531
2018-12-24 14:35:00,1.07,1.07,1.07,1.07,531
2018-12-24 14:40:00,1.07,1.07,1.07,1.07,531
2018-12-24 14:45:00,1.07,1.07,1.07,1.07,531
2018-12-24 14:50:00,1.07,1.07,1.07,1.07,531
2018-12-24 14:55:00,1.07,1.07,1.07,1.07,531
2018-12-24 15:00:00,1.07,1.07,1.07,1.07,531
2018-12-24 15:05:00,1.07,1.07,1.07,1.07,531
2018-12-24 15:10:00,1.07,1.07,1.07,1.07,531
2018-12-24 15:15:00,1.07,1.07,1.07,1.07,531
2018-12-24 15:20:00,1.07,1.07,1.07,1.07,531
2018-12-24 15:25:00,1.07,1.07,1.07,1.07,531
2018-12-24 15:30:00,1.07,1.07,1.07,1.07,531
2018-12-24 15:35:00,1.07,1.07,1.07,1.07,531
2018-12-24 15:40:00,1.07,1.07,1.07,1.07,531
2018-12-24 15:45:00,1.07,1.07,1.07,1.07,531
2018-12-24 15:50:00,1.07,1.07,1.07,1.07,531
2018-12-24 15:55:00,1.07,1.07,1.07,1.07,531
2018-12-26 09:00:00,1.09,1.095,1.08,1.095,2659
2018-12-26 09:05:00,1.09,1.095,1.08,1.095,2659
2018-12-26 09:10:00,1.09,1.095,1.08,1.095,2659
2018-12-26 09:15:00,1.09,1.095,1.08,1.095,2659
2018-12-26 09:20:00,1.09,1.095,1.08,1.095,2659
2018-12-26 09:25:00,1.09,1.095,1.08,1.095,2659
2018-12-26 09:30:00,1.09,1.095,1.08,1.095,2659
2018-12-26 09:35:00,1.09,1.095,1.08,1.095,2659
2018-12-26 09:40:00,1.09,1.095,1.08,1.095,2659
2018-12-26 09:45:00,1.09,1.095,1.08,1.095,2659
2018-12-26 09:50:00,1.09,1.095,1.08,1.095,2659
2018-12-26 09:55:00,1.09,1.095,1.08,1.095,2659
2018-12-26 10:00:00,1.11,1.11,1.0793,1.08,7000
2018-12-26 10:05:00,1.11,1.11,1.0793,1.08,7000
2018-12-26 10:10:00,1.11,1.11,1.0793,1.08,7000
2018-12-26 10:15:00,1.0746,1.0886,1.0746,1.08,17554
2018-12-26 10:20:00,1.0746,1.0886,1.0746,1.08,17554
2018-12-26 10:25:00,1.0746,1.0886,1.0746,1.08,17554
2018-12-26 10:30:00,1.08,1.08,1.075,1.08,6610
2018-12-26 10:35:00,1.08,1.08,1.075,1.08,6610
2018-12-26 10:40:00,1.08,1.08,1.075,1.08,6610
2018-12-26 10:45:00,1.08,1.08,1.07,1.07,2560
2018-12-26 10:50:00,1.08,1.08,1.07,1.07,2560
2018-12-26 10:55:00,1.08,1.08,1.07,1.07,2560
2018-12-26 11:00:00,1.07,1.07,1.05,1.05,9572
2018-12-26 11:05:00,1.07,1.07,1.05,1.05,9572
2018-12-26 11:10:00,1.07,1.07,1.05,1.05,9572
2018-12-26 11:15:00,1.045,1.045,1.04,1.045,6191
2018-12-26 11:20:00,1.045,1.045,1.04,1.045,6191
2018-12-26 11:25:00,1.045,1.045,1.04,1.045,6191
2018-12-26 11:30:00,1.045,1.06,1.045,1.05,1308
2018-12-26 11:35:00,1.045,1.06,1.045,1.05,1308
2018-12-26 11:40:00,1.045,1.06,1.045,1.05,1308
2018-12-26 11:45:00,1.065,1.065,1.06,1.06,1008
2018-12-26 11:50:00,1.065,1.065,1.06,1.06,1008
2018-12-26 11:55:00,1.065,1.065,1.06,1.06,1008
2018-12-26 12:00:00,1.06,1.06,1.05,1.05,5214
2018-12-26 12:05:00,1.06,1.06,1.05,1.05,5214
2018-12-26 12:10:00,1.06,1.06,1.05,1.05,5214
2018-12-26 12:15:00,1.045,1.06,1.04,1.04,3917
2018-12-26 12:20:00,1.045,1.06,1.04,1.04,3917
2018-12-26 12:25:00,1.045,1.06,1.04,1.04,3917
2018-12-26 12:30:00,1.05,1.065,1.04,1.06,6801
2018-12-26 12:35:00,1.05,1.065,1.04,1.06,6801
2018-12-26 12:40:00,1.05,1.065,1.04,1.06,6801
2018-12-26 12:45:00,1.06,1.07,1.06,1.07,2701
2018-12-26 12:50:00,1.06,1.07,1.06,1.07,2701
2018-12-26 12:55:00,1.06,1.07,1.06,1.07,2701
2018-12-26 13:00:00,1.06,1.065,1.06,1.065,2112
2018-12-26 13:05:00,1.06,1.065,1.06,1.065,2112
2018-12-26 13:10:00,1.06,1.065,1.06,1.065,2112
2018-12-26 13:15:00,1.06,1.06,1.06,1.06,8963
2018-12-26 13:20:00,1.06,1.06,1.06,1.06,8963
2018-12-26 13:25:00,1.06,1.06,1.06,1.06,8963
2018-12-26 13:30:00,1.06,1.06,1.05,1.06,4115
2018-12-26 13:35:00,1.06,1.06,1.05,1.06,4115
2018-12-26 13:40:00,1.06,1.06,1.05,1.06,4115
2018-12-26 13:45:00,1.06,1.065,1.05,1.06,3857
2018-12-26 13:50:00,1.06,1.065,1.05,1.06,3857
2018-12-26 13:55:00,1.06,1.065,1.05,1.06,3857
2018-12-26 14:00:00,1.06,1.06,1.06,1.06,1203
2018-12-26 14:05:00,1.06,1.06,1.06,1.06,1203
2018-12-26 14:10:00,1.06,1.06,1.06,1.06,1203
2018-12-26 14:15:00,1.06,1.07,1.05,1.0686,12720
2018-12-26 14:20:00,1.06,1.07,1.05,1.0686,12720
2018-12-26 14:25:00,1.06,1.07,1.05,1.0686,12720
2018-12-26 14:30:00,1.06,1.07,1.06,1.065,23016
2018-12-26 14:35:00,1.06,1.07,1.06,1.065,23016
2018-12-26 14:40:00,1.06,1.07,1.06,1.065,23016
2018-12-26 14:45:00,1.065,1.07,1.065,1.065,4824
2018-12-26 14:50:00,1.065,1.07,1.065,1.065,4824
2018-12-26 14:55:00,1.065,1.07,1.065,1.065,4824
2018-12-26 15:00:00,1.06,1.0693,1.06,1.0693,112702
2018-12-26 15:05:00,1.06,1.0693,1.06,1.0693,112702
2018-12-26 15:10:00,1.06,1.0693,1.06,1.0693,112702
2018-12-26 15:15:00,1.0693,1.07,1.065,1.07,166169
2018-12-26 15:20:00,1.0693,1.07,1.065,1.07,166169
2018-12-26 15:25:00,1.0693,1.07,1.065,1.07,166169
2018-12-26 15:30:00,1.07,1.07,1.07,1.07,11126
2018-12-26 15:35:00,1.07,1.07,1.07,1.07,11126
2018-12-26 15:40:00,1.07,1.07,1.07,1.07,11126
2018-12-26 15:45:00,1.06,1.07,1.06,1.06,7733
2018-12-26 15:50:00,1.06,1.07,1.06,1.06,7733
2018-12-26 15:55:00,1.06,1.07,1.06,1.06,7733
2018-12-27 09:00:00,1.1,1.1,1.04,1.04,392
2018-12-27 09:05:00,1.1,1.1,1.04,1.04,392
2018-12-27 09:10:00,1.1,1.1,1.04,1.04,392
2018-12-27 09:15:00,1.1,1.1,1.04,1.04,392
2018-12-27 09:20:00,1.1,1.1,1.04,1.04,392
2018-12-27 09:25:00,1.1,1.1,1.04,1.04,392
2018-12-27 09:30:00,1.1,1.1,1.04,1.04,392
2018-12-27 09:35:00,1.1,1.1,1.04,1.04,392
2018-12-27 09:40:00,1.1,1.1,1.04,1.04,392
2018-12-27 09:45:00,1.1,1.1,1.04,1.04,392
2018-12-27 09:50:00,1.1,1.1,1.04,1.04,392
2018-12-27 09:55:00,1.1,1.1,1.04,1.04,392
2018-12-27 10:00:00,1.03,1.04,1.0193,1.03,32114
2018-12-27 10:05:00,1.03,1.04,1.0193,1.03,32114
2018-12-27 10:10:00,1.03,1.04,1.0193,1.03,32114
2018-12-27 10:15:00,1.0251,1.03,1.0251,1.03,290
2018-12-27 10:20:00,1.0251,1.03,1.0251,1.03,290
2018-12-27 10:25:00,1.0251,1.03,1.0251,1.03,290
2018-12-27 10:30:00,1.04,1.04,1.03,1.04,1400
2018-12-27 10:35:00,1.04,1.04,1.03,1.04,1400
2018-12-27 10:40:00,1.04,1.04,1.03,1.04,1400
2018-12-27 10:45:00,1.03,1.04,1.03,1.04,200
2018-12-27 10:50:00,1.03,1.04,1.03,1.04,200
2018-12-27 10:55:00,1.03,1.04,1.03,1.04,200
2018-12-27 11:00:00,1.03,1.04,1.03,1.04,200
2018-12-27 11:05:00,1.03,1.04,1.03,1.04,200
2018-12-27 11:10:00,1.03,1.04,1.03,1.04,200
2018-12-27 11:15:00,1.03,1.04,1.02,1.02,4191
2018-12-27 11:20:00,1.03,1.04,1.02,1.02,4191
2018-12-27 11:25:00,1.03,1.04,1.02,1.02,4191
2018-12-27 11:30:00,1.02,1.04,1.02,1.02,3424
2018-12-27 11:35:00,1.02,1.04,1.02,1.02,3424
2018-12-27 11:40:00,1.02,1.04,1.02,1.02,3424
2018-12-27 11:45:00,1.02,1.02,1.02,1.02,2700
2018-12-27 11:50:00,1.02,1.02,1.02,1.02,2700
2018-12-27 11:55:00,1.02,1.02,1.02,1.02,2700
2018-12-27 12:00:00,1.02,1.03,1.015,1.015,16090
2018-12-27 12:05:00,1.02,1.03,1.015,1.015,16090
2018-12-27 12:10:00,1.02,1.03,1.015,1.015,16090
2018-12-27 12:15:00,1.02,1.02,1.01,1.015,5800
2018-12-27 12:20:00,1.02,1.02,1.01,1.015,5800
2018-12-27 12:25:00,1.02,1.02,1.01,1.015,5800
2018-12-27 12:30:00,1.01,1.08,1.01,1.08,32691
2018-12-27 12:35:00,1.01,1.08,1.01,1.08,32691
2018-12-27 12:40:00,1.01,1.08,1.01,1.08,32691
2018-12-27 12:45:00,1.03,1.03,1.03,1.03,600
2018-12-27 12:50:00,1.03,1.03,1.03,1.03,600
2018-12-27 12:55:00,1.03,1.03,1.03,1.03,600
2018-12-27 13:00:00,1.05,1.05,1.02,1.0275,8245
2018-12-27 13:05:00,1.05,1.05,1.02,1.0275,8245
2018-12-27 13:10:00,1.05,1.05,1.02,1.0275,8245
2018-12-27 13:15:00,1.03,1.03,1.03,1.03,1000
2018-12-27 13:20:00,1.03,1.03,1.03,1.03,1000
2018-12-27 13:25:00,1.03,1.03,1.03,1.03,1000
2018-12-27 13:30:00,1.02,1.02,1.02,1.02,38273
2018-12-27 13:35:00,1.02,1.02,1.02,1.02,38273
2018-12-27 13:40:00,1.02,1.02,1.02,1.02,38273
2018-12-27 13:45:00,1.03,1.03,1.02,1.02,4101
2018-12-27 13:50:00,1.03,1.03,1.02,1.02,4101
2018-12-27 13:55:00,1.03,1.03,1.02,1.02,4101
2018-12-27 14:00:00,1.02,1.03,1.01,1.03,7402
2018-12-27 14:05:00,1.02,1.03,1.01,1.03,7402
2018-12-27 14:10:00,1.02,1.03,1.01,1.03,7402
2018-12-27 14:15:00,1.03,1.08,1.01,1.015,9662
2018-12-27 14:20:00,1.03,1.08,1.01,1.015,9662
2018-12-27 14:25:00,1.03,1.08,1.01,1.015,9662
2018-12-27 14:30:00,1.015,1.02,1.01,1.01,3600
2018-12-27 14:35:00,1.015,1.02,1.01,1.01,3600
2018-12-27 14:40:00,1.015,1.02,1.01,1.01,3600
2018-12-27 14:45:00,1.01,1.0618,1.01,1.04,14605
2018-12-27 14:50:00,1.01,1.0618,1.01,1.04,14605
2018-12-27 14:55:00,1.01,1.0618,1.01,1.04,14605
2018-12-27 15:00:00,1.05,1.05,1.01,1.01,7200
2018-12-27 15:05:00,1.05,1.05,1.01,1.01,7200
2018-12-27 15:10:00,1.05,1.05,1.01,1.01,7200
2018-12-27 15:15:00,1.01,1.04,1.01,1.04,6550
2018-12-27 15:20:00,1.01,1.04,1.01,1.04,6550
2018-12-27 15:25:00,1.01,1.04,1.01,1.04,6550
2018-12-27 15:30:00,1.03,1.04,1.03,1.0375,1854
2018-12-27 15:35:00,1.03,1.04,1.03,1.0375,1854
2018-12-27 15:40:00,1.03,1.04,1.03,1.0375,1854
2018-12-27 15:45:00,1.04,1.05,1.02,1.02,7134
2018-12-27 15:50:00,1.04,1.05,1.02,1.02,7134
2018-12-27 15:55:00,1.04,1.05,1.02,1.02,7134
2018-12-28 09:00:00,1.01,1.01,1.01,1.01,0
2018-12-28 09:05:00,1.01,1.01,1.01,1.01,0
2018-12-28 09:10:00,1.01,1.01,1.01,1.01,0
2018-12-28 09:15:00,1.01,1.01,1.01,1.01,0
2018-12-28 09:20:00,1.01,1.01,1.01,1.01,0
2018-12-28 09:25:00,1.01,1.01,1.01,1.01,0
2018-12-28 09:30:00,1.01,1.01,1.01,1.01,0
2018-12-28 09:35:00,1.01,1.01,1.01,1.01,0
2018-12-28 09:40:00,1.01,1.01,1.01,1.01,0
2018-12-28 09:45:00,1.01,1.01,1.01,1.01,0
2018-12-28 09:50:00,1.01,1.01,1.01,1.01,0
2018-12-28 09:55:00,1.01,1.01,1.01,1.01,0
2018-12-28 10:00:00,1.04,1.04,1.04,1.04,100
2018-12-28 10:05:00,1.04,1.04,1.04,1.04,100
2018-12-28 10:10:00,1.04,1.04,1.04,1.04,100
2018-12-28 10:15:00,1.02,1.05,1.02,1.03,26990
2018-12-28 10:20:00,1.02,1.05,1.02,1.03,26990
